title,link,salary,location
Compliance Analyst,https://www.sherlocktalent.com/job/7090-compliance-analyst/,$90000,Delray Beach
Business Analyst / IT Project Manager,https://www.sherlocktalent.com/job/7086-business-analyst-it-project-manager/,$120000,Boca Raton
Power Platform Developer,https://www.sherlocktalent.com/job/7085-power-platform-developer/,$140000,Boca Raton
C# Developer / Mid Level / REMOTE,https://www.sherlocktalent.com/job/7083-c-developer-mid-level-remote/,$130000,REMOTE
Manager of Engineering,https://www.sherlocktalent.com/job/7074-manager-of-engineering/,$130000,Boca Raton
Product Designer (Remote),https://www.sherlocktalent.com/job/7073-product-designer-remote/,$110000,Boca Raton
DevOps AWS Engineer (Remote),https://www.sherlocktalent.com/job/7072-devops-aws-engineer-remote/,$140000,Miami
Java Developer Mid – Level (Contract) (Remote),https://www.sherlocktalent.com/job/7071-java-developer-mid-level-contract-remote/,Depends on Experience,REMOTE
Senior Software Developer C# and  SQL,https://www.sherlocktalent.com/job/7070-senior-software-developer-c-and-sql/,$135000,Plantation
Senior Back End Software Engineer(Remote),https://www.sherlocktalent.com/job/7057-senior-back-end-software-engineerremote/,$160000,Ft. Lauderdale
Back End Software Engineer(Remote),https://www.sherlocktalent.com/job/7056-back-end-software-engineerremote/,$120000,Fort Lauderdale
API Laravel/Lumen Developer(Remote),https://www.sherlocktalent.com/job/3559-api-laravel-lumen-developerremote/,$140000,Boca Raton
React Laravel Front End Developer (Remote),https://www.sherlocktalent.com/job/3558-react-laravel-front-end-developer-remote/,$110000,Boca Raton
Crypto Developer (Remote),https://www.sherlocktalent.com/job/3557-crypto-developer-remote/,$250000,Florida
Amazon Expert,https://www.sherlocktalent.com/job/3556-amazon-expert/,$80000,Hollywood
EdTech Technical Sales Professional,https://www.sherlocktalent.com/job/3554-edtech-technical-sales-professional/,Depends on Experience,Boca Raton
Senior Software Engineer,https://www.sherlocktalent.com/job/3551-senior-software-engineer/,$140000,REMOTE
Senior DevOps Engineer (Remote),https://www.sherlocktalent.com/job/3550-senior-devops-engineer-remote/,$140000,Boca Raton
Application Security Engineer (Remote),https://www.sherlocktalent.com/job/3549-application-security-engineer-remote/,$145000,Boca Raton
Sr. SQL/Full Stack Developer,https://www.sherlocktalent.com/job/3548-sr-sql-full-stack-developer/,$100000,Fort Lauderdale
"IT Security Engineer, Level III",https://www.sherlocktalent.com/job/3547-it-security-engineer-level-iii/,$85000,Ft. Lauderdale
Senior Software Engineer (Remote),https://www.sherlocktalent.com/job/3544-senior-software-engineer-remote/,$140000,Ft. Lauderdale
Marketing Project Manager,https://www.sherlocktalent.com/job/3543-marketing-project-manager/,Depends on Experience,Aventura
Software Engineer,https://www.sherlocktalent.com/job/3539-software-engineer/,$80000,Sunrise
Sr. Security Engineer,https://www.sherlocktalent.com/job/3531-sr-security-engineer/,Depends on Experience,Fort Lauderdale
AWS Cloud Engineer/SecOps (Remote),https://www.sherlocktalent.com/job/3527-aws-cloud-engineer-secops-remote/,Depends on Experience,Ft. Lauderdale
Azure Cloud Engineer (Remote),https://www.sherlocktalent.com/job/3525-azure-cloud-engineer-remote/,Depends on Experience,Ft. Lauderdale
Your Resume Upload Link for Non-listed Jobs,https://www.sherlocktalent.com/job/3524-your-resume-upload-link-for-non-listed-jobs/,Depends on Experience,Anywhere / Remote
JavaScript React Node.js Developer,https://www.sherlocktalent.com/job/3523-javascript-react-node-js-developer/,Depends on Experience,Boynton Beach
